cloud cap,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
cloud 200,off,303,747,747,249.5,18.3,2.0,106.4,448.8,0,15,0,685,9,0,55.9,314.7,314.7,,58.2,298.2,154.2,449.7,189.0,0,0,0,0,0
cloud 200,off,404,11,11,277.3,19.1,2.0,19.6,95.6,0,5,0,701,43,0,13.5,27.3,28.4,,15.4,28.3,39.0,59.0,58.2,0,0,0,0,0
cloud 200,off,505,28,28,278.1,18.3,2.0,30.9,148.0,0,6,0,721,6,0,15.0,25.0,25.0,,16.4,29.1,57.5,139.0,80.7,0,0,0,0,0
cloud 200,off,606,8,8,139.8,19.1,2.0,158.3,620.2,0,2,0,690,16,1,34.9,164.8,164.8,29.9,32.9,160.2,356.4,609.0,318.8,0,0,0,0,0
cloud 200,"decay, final",101,3,77,175.9,17.7,2.0,84.7,663.2,1660,3,0,688,11,0,11.6,29.6,29.6,,15.8,30.1,38.9,56.1,188.1,2,0,579,0,73
cloud 200,"decay, final",202,871,1129,249.4,17.4,2.0,116.7,587.2,1447,17,0,708,44,1,67.4,280.3,329.4,29.0,53.8,267.7,229.0,452.1,187.7,4,0,320,0,330
cloud 200,"decay, final",303,602,1108,249.5,18.3,2.0,106.8,495.6,2236,15,0,685,9,0,55.9,314.7,314.7,,52.0,272.4,95.9,374.7,175.8,0,0,581,0,71
cloud 200,"decay, final",404,11,11,277.3,19.1,2.0,19.8,33.8,521,5,0,701,43,0,13.5,27.3,28.4,,14.5,27.9,38.6,59.0,59.7,6,0,445,0,194
cloud 200,"decay, final",505,28,34,278.1,18.3,2.0,30.7,283.7,833,6,0,721,6,0,15.0,25.0,25.0,,15.0,28.8,42.5,56.3,81.9,0,0,593,0,102
cloud 200,"decay, final",606,8,323,128.7,19.1,2.0,175.3,973.0,2351,2,0,690,16,1,33.0,149.8,149.8,29.9,23.2,81.7,240.2,699.0,335.1,3,0,575,0,81
cloud 200,"decay, restored exempt",101,59,75,175.9,17.7,2.0,85.1,505.3,1988,3,8,688,11,0,13.0,29.6,29.6,,16.6,30.1,77.1,425.5,185.5,2,0,578,0,81
cloud 200,"decay, restored exempt",202,871,1129,249.4,17.4,2.0,116.7,589.1,1447,17,0,708,44,1,67.4,280.3,329.4,29.0,53.9,267.7,229.7,452.1,187.6,4,0,320,0,330
cloud 200,"decay, restored exempt",303,625,1094,249.5,18.3,2.0,106.9,495.2,2262,15,2,685,9,0,55.9,314.7,314.7,,52.3,274.8,97.5,374.7,176.5,0,0,582,0,70
cloud 200,"decay, restored exempt",404,11,11,277.3,19.1,2.0,19.8,74.2,590,5,0,701,43,0,13.5,27.3,28.4,,14.6,27.9,38.6,59.0,58.9,6,0,444,0,196
cloud 200,"decay, restored exempt",505,28,34,278.1,18.3,2.0,30.7,279.6,852,6,0,721,6,0,15.0,25.0,25.0,,15.0,28.8,42.5,56.3,82.1,0,0,594,0,102
cloud 200,"decay, restored exempt",606,79,320,128.7,19.1,2.0,175.4,924.4,2569,2,7,690,16,1,33.0,149.8,149.8,29.9,23.6,85.3,241.1,761.8,337.5,3,0,573,0,85
cloud 200,"both, exempt",101,488,75,175.9,17.7,2.0,84.9,549.4,2147,3,11,688,11,0,15.7,50.5,50.5,,16.9,31.9,77.1,425.5,184.9,2,2,578,85,81
cloud 200,"both, exempt",202,2464,1356,250.6,17.6,2.0,105.3,548.8,2819,25,7,708,44,1,86.1,340.3,374.4,29.0,68.3,327.7,177.5,501.5,157.2,4,25,310,237,340
cloud 200,"both, exempt",303,675,1109,249.6,18.3,2.0,106.0,489.5,2306,14,4,685,9,0,55.9,314.7,314.7,,52.7,274.8,89.2,374.7,174.6,0,3,583,22,69
cloud 200,"both, exempt",404,108,16,277.3,19.6,2.0,19.8,74.4,649,7,2,701,43,0,13.5,27.3,28.4,,14.8,27.9,38.3,59.0,58.7,6,14,443,85,197
cloud 200,"both, exempt",505,66,34,278.6,18.1,2.0,30.7,279.6,916,7,0,721,6,0,15.0,25.0,25.0,,15.1,28.9,42.5,56.3,80.8,0,5,592,42,103
cloud 200,"both, exempt",606,261,385,128.7,19.1,2.0,174.9,936.6,2703,2,15,690,16,1,38.6,179.8,179.8,29.9,27.9,125.9,135.2,746.8,323.4,3,9,571,43,87
