day,dial,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,step 5 s,404,5763,5763,128.9,307.1,48.12,7024.6,36067.9,0,189,0,3001,63,0,69.1,162.7,576.0,,124.3,903.8,23452.9,64751.8,25679.9,0,0,0,0,0
rock burst,step 60 s,101,7276,7276,123.5,308.1,48.43,8393.3,54545.2,0,206,0,2986,57,0,61.8,158.1,704.7,,145.6,1079.4,29707.4,79226,30845.2,0,0,0,0,0
rock burst,step 60 s,202,7198,7198,131.8,311.0,48.52,8199.5,56332.1,0,200,0,3086,75,0,105.9,659.3,1344.4,,129.4,986.4,34851.5,86935.1,30029.9,0,0,0,0,0
rock burst,step 60 s,303,6485,6485,138.4,309.7,48.68,7356.5,41434.3,0,188,0,3103,76,1,97.3,685.9,1051.4,1051.4,133.1,940.0,24230.7,86032.5,26950.1,0,0,0,0,0
rock burst,step 60 s,404,6237,6237,125.7,309.2,48.79,7750.2,45052.9,0,187,0,3001,63,0,70.7,177.7,584.6,,125.9,909.9,25702.7,73736.8,28373.0,0,0,0,0,0
rock burst,scale-up step 5,101,6977,6977,125.4,306.5,48.08,7941.9,48200.2,0,219,0,2986,57,0,62.6,158.1,794.7,,155.6,1150.1,27606.0,72881,29135.8,0,0,0,0,0
rock burst,scale-up step 5,202,6762,6762,133.8,309.9,48.25,7781.0,50287.1,0,208,0,3086,75,0,108.9,749.3,1404.4,,135.5,1045.5,32924.3,86301.9,28448.2,0,0,0,0,0
rock burst,scale-up step 5,303,6160,6160,141.6,307.3,47.98,6714.4,32869.3,0,204,0,3103,76,1,102.2,745.9,1126.4,1126.4,140.7,1004.3,22206.1,77467.5,24551.9,0,0,0,0,0
rock burst,scale-up step 5,404,6022,6022,128.0,307.9,47.97,7244.0,38707.9,0,194,0,3001,63,0,71.7,177.7,644.6,,130.1,954.9,24152.9,67391.8,26475.3,0,0,0,0,0
rock burst,scale-up step 20,101,6807,6807,125.7,306.1,48.08,7812.3,46610.2,0,211,0,2986,57,0,60.3,151.0,704.7,,146.2,1086.7,27095.3,71291,28684.1,0,0,0,0,0
rock burst,scale-up step 20,202,6575,6575,134.3,309.4,48.25,7632.6,48532.1,0,204,0,3086,75,0,105.3,659.3,1344.4,,129.4,986.4,32360.7,86555.6,27921.1,0,0,0,0,0
rock burst,scale-up step 20,303,6024,6024,145.8,305.9,46.58,6316.7,29141.8,0,196,0,3103,76,1,95.9,700.9,1051.4,1051.4,132.6,944.3,20924.6,72427.5,23101.7,0,0,0,0,0
rock burst,scale-up step 20,404,5833,5833,128.4,307.5,48.01,7155.3,37627.9,0,189,0,3001,63,0,70.0,175.2,576.0,,124.7,903.8,23896.5,66311.8,26165.0,0,0,0,0,0
rock burst,scale-up cooldown 1 min,101,6870,6870,122.8,308.4,48.08,8469.7,55595.2,0,210,0,2986,57,0,62.1,173.1,704.7,,146.7,1082.3,30041.0,80276,31121.6,0,0,0,0,0
rock burst,scale-up cooldown 1 min,202,6875,6875,130.3,312.6,48.25,8532.4,61207.1,0,206,0,3086,75,0,108.7,719.3,1374.4,,133.3,1015.5,36327.7,86533.5,31256.6,0,0,0,0,0
rock burst,scale-up cooldown 1 min,303,6487,6487,139.3,311.5,48.1,7871.4,48649.3,0,200,0,3103,76,1,99.7,715.9,1081.4,1081.4,136.5,965.4,25721.8,86550.6,28827.2,0,0,0,0,0
rock burst,scale-up cooldown 1 min,404,6211,6211,124.6,310.4,47.97,7987.6,48292.9,0,193,0,3001,63,0,71.7,177.7,614.6,,128.6,931.4,26362.9,76976.8,29240.8,0,0,0,0,0
rock burst,scale-up cooldown 5 min,101,7766,7766,110.4,317.4,48.34,11039.4,85665.3,0,225,0,2986,57,0,76.6,255.8,764.7,,157.6,1120.1,39397.4,86438.5,40647.2,0,0,0,0,0
rock burst,scale-up cooldown 5 min,202,8362,8362,117.9,322.5,48.25,11137.3,85965.8,0,235,0,3086,75,0,127.7,959.3,1584.4,,165.9,1207.9,48351.9,86689.5,40866.4,0,0,0,0,0
rock burst,scale-up cooldown 5 min,303,7735,7735,121.7,324.3,48.1,10940.8,85938.7,0,228,0,3103,76,1,120.6,850.9,1216.4,1216.4,160.3,1120.0,36949.7,86550.6,40041.7,0,0,0,0,0
rock burst,scale-up cooldown 5 min,404,7442,7442,121.9,315.1,48.17,9991.9,76117.9,0,233,0,3001,63,0,93.4,237.7,899.6,,163.7,1181.9,32850.7,86486.8,36507.8,0,0,0,0,0
rock burst,local floor 0,101,7031,7031,125.9,306.0,47.98,9133.3,85762.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,34233.9,86507.8,33534.2,0,0,0,0,0
rock burst,local floor 0,202,6944,6944,134.4,309.2,47.92,8929.4,85715.8,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.8,986.4,39450.5,86440.1,32777.9,0,0,0,0,0
rock burst,local floor 0,303,6691,6691,145.8,306.0,48.09,7928.3,85551.8,0,195,0,3103,76,1,95.9,685.9,1051.4,1051.4,131.9,940.0,25889.2,86472.1,29057.0,0,0,0,0,0
rock burst,local floor 0,404,6409,6409,128.1,307.8,47.95,8690.1,85645.7,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,27738.8,86250.3,31900.8,0,0,0,0,0
rock burst,local floor 12,101,6532,6532,121.2,315.7,26.32,5158.3,31285.5,0,210,0,2986,57,0,62.4,158.1,704.7,,144.6,1079.4,18303.7,32327.8,18793.3,0,0,0,0,0
rock burst,local floor 12,202,6169,6169,134.9,313.8,26.17,4373.7,26804.2,0,204,0,3086,75,0,105.7,659.3,1344.4,,129.2,986.4,16457.3,28218.2,15821.3,0,0,0,0,0
rock burst,local floor 12,303,6023,6023,146.7,309.2,25.78,3971.2,24451.6,0,196,0,3103,76,1,94.1,700.9,1051.4,1051.4,131.8,940.0,12580.8,26293.5,14264.0,0,0,0,0,0
rock burst,local floor 12,404,5720,5720,124.0,314.2,26.2,4907.3,29843.5,0,189,0,3001,63,0,71.2,189.6,576.0,,124.4,903.8,17436.5,30665.5,17673.1,0,0,0,0,0
earthquake,reference,101,23046,23046,348.6,387.2,48.12,16257.6,86360.6,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56267.7,86529.9,59106.1,0,0,0,0,0
earthquake,reference,202,24997,24997,351.2,395.3,48.31,17032.0,86401.6,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60484.3,86543.9,61721.9,0,0,0,0,0
earthquake,reference,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0
earthquake,reference,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0
